cod.	documento	qtd.	ug	data	doc. p/ serv.		
DF	DARF	1	152430	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	5	152430	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	152426	11/10/2023			
OB	ORDEM BANCARIA	5	158393	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	10	158393	11/10/2023			
OB	ORDEM BANCARIA	1	154679	11/10/2023			
DF	DARF	1	154679	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	154679	11/10/2023			
ND	NOTA DE DOTACAO	1	154681	11/10/2023			
RO	REGISTRO ORCAMENTARIO	1	154681	11/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	154681	11/10/2023			
OB	ORDEM BANCARIA	1	158392	16/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	158392	16/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	152420	16/10/2023			
OB	ORDEM BANCARIA	1	152420	17/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	152420	18/10/2023			
OB	ORDEM BANCARIA	1	152420	18/10/2023			
PF	PROGRAMACAO FINANCEIRA	1	152420	18/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	152420	18/10/2023			
OB	ORDEM BANCARIA	7	152430	16/10/2023			
DF	DARF	5	152430	16/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	15	152430	16/10/2023			
OB	ORDEM BANCARIA	2	152430	17/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	152430	17/10/2023			
ND	NOTA DE DOTACAO	1	152430	18/10/2023			
RO	REGISTRO ORCAMENTARIO	1	152430	18/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	152430	18/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	152426	18/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	1	152426	17/10/2023			
DF	DARF	2	158393	16/10/2023			
NS	NOTA DE LANCAMENTO DE SISTEMA	2	158393	16/10/2023			
