documento,numero,servidor,data,,
R E G I S T R O O R C A M E N T A R I O,2025NS023389,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023388,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023387,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023386,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023385,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023384,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023383,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023382,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023381,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023380,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023379,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023378,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023377,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023376,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023375,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023374,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023373,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023372,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023371,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023370,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023369,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023368,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023367,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023366,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023365,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023364,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023363,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023362,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023361,SRV-03,26/09/2023,,
