documento,numero,servidor,data,,
N O T A D E D O T A C A O,2025NS023458,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023457,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023456,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023455,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023454,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023453,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023452,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023451,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023450,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023449,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023448,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023447,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023446,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023445,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023444,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023443,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023442,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023441,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023440,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023439,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023438,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023437,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023436,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023435,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023434,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023433,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023432,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023431,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023430,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023429,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023428,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023427,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023426,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023425,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023424,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023423,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023422,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023421,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023420,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023419,Victor,26/09/2023,,
